sn,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,class
6259,667,849,951,1075,1333,1395,1514,1526,1710,1667, sehar
6260,859,1066,1258,1288,1589,1711,1884,1780,1975,1876, sehar
6261,732,841,936,1125,1320,1538,1558,1584,1764,1689, sehar
6262,846,1104,1324,1288,1589,1711,1918,1780,1975,1876, sehar
6263,678,843,901,1122,1561,1763,1570,1816,1631,1414, sehar
6264,846,1104,1324,1288,1589,1711,1918,1780,1975,1876, sehar
6265,713,908,973,1122,1736,2004,1946,2124,1575,1323, sehar
6266,682,851,957,1109,1581,1764,1570,1831,1691,1453, sehar
6267,611,782,791,946,2110,2712,2721,2864,1475,1020, sehar
6268,741,871,962,1109,1581,1764,2066,1831,1691,1453, sehar
6269,719,874,962,1075,1333,1395,1580,1526,1710,1667, sehar
6270,742,890,1013,1253,1583,1852,1604,1875,1935,1759, sehar
6271,786,966,1116,1288,1589,1711,1772,1780,1975,1876, sehar
6272,719,874,962,1075,1333,1395,1580,1526,1710,1667, sehar
6273,719,895,940,1122,1736,2004,2250,2124,1575,1323, sehar
6274,846,1104,1324,1288,1589,1711,1918,1780,1975,1876, sehar
6275,750,961,1058,1253,1583,1852,1858,1875,1935,1759, sehar
6276,786,990,1176,1253,1583,1852,1954,1875,1935,1759, sehar
6277,672,836,919,1098,1487,1710,1502,1711,1653,1516, sehar
6278,678,843,901,1122,1561,1763,1570,1816,1631,1414, sehar
6279,703,846,927,1098,1487,1710,1557,1711,1653,1516, sehar
6280,713,908,973,1122,1736,2004,1946,2124,1575,1323, sehar
6281,703,846,927,1098,1487,1710,1557,1711,1653,1516, sehar
6282,678,843,901,1122,1561,1763,1570,1816,1631,1414, sehar
6283,725,908,963,1098,1487,1710,1859,1711,1653,1516, sehar
6284,705,841,904,1122,1561,1763,1528,1816,1631,1414, sehar
6285,742,954,1100,1218,1434,1579,1678,1693,1896,1842, sehar
6286,742,954,1100,1218,1434,1579,1678,1693,1896,1842, sehar
